,RMSE_train,test_ARI,loglike,RMSE_test,train_ARI,RMSE_train_std,test_ARI_std,loglike_std,RMSE_test_std,train_ARI_std,method,missing_rate
0,0.0,0.00547582078663685,0.00016305774647395235,0.0,0.001343237955009687,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,0.0,0.28912713220051034,-31.813098823457704,0.0,0.29080287743736666,0.0,0.23888714648031567,0.6532891653646373,0.0,0.24321911373404775,VBEM,0.0
2,0.0,0.19587787966086825,-31.86667660460746,0.0,0.1888437287124741,0.0,0.21509170452473683,0.3713411705091164,0.0,0.21751182470368075,EM,0.0
3,0.0,0.1641891199545434,-32.09741830937797,0.0,0.16216639396368543,0.0,0.19410742318517174,0.4552203347703816,0.0,0.20219883335370306,EM+mean,0.0
4,0.0,0.00018738842203492917,0.00014117365303283587,0.0,-0.00012701958203131764,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.0
5,0.0,0.2429500330916125,-32.04308064398647,0.0,0.24164034354778702,0.0,0.25922066198634763,0.7026125776465129,0.0,0.2627910147580706,VBEM+mean,0.0
6,0.0,0.1801866113172828,-32.020847728542336,0.0,0.17675012572305224,0.0,0.21965832628874798,0.5276686434670843,0.0,0.22491144829946386,EM+median,0.0
7,0.0,0.05850622337978945,0.0002668449934570251,0.0,0.03821232210776397,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.0
8,0.0,0.21961932552729052,-32.00484568364634,0.0,0.22271343904886542,0.0,0.19202780743748318,0.5886380542048576,0.0,0.1929027537333283,VBEM+median,0.0
9,0.0,0.294563490010401,-31.92209843806312,0.0,0.30064481398568055,0.0,0.266859801019483,0.741241844398084,0.0,0.27090098836409715,EM+mode,0.0
10,0.0,0.05253173216576856,0.0007628045643096451,0.0,0.07209663546561124,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.0
11,0.0,0.2411130557335341,-32.009334605312574,0.0,0.2366436579064956,0.0,0.17429480828062174,0.5102186056903296,0.0,0.17610319941706498,VBEM+mode,0.0
12,0.4447243995692951,0.01752850169763028,-29.40160693201726,0.4433236081417518,0.01072361913167015,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
13,0.29305266197335345,0.25271024507493245,-28.703352198456294,0.29314752186969073,0.252085456941196,0.0023362514687382337,0.2072588098988328,0.3805856644401757,0.0019359714743681854,0.2114510176388783,VBEM,0.1
14,0.29254524778130764,0.32621268287170213,-28.598339888264054,0.29278217821755026,0.322955105528823,0.002429455726062912,0.22456979107071265,0.4458097309878071,0.0026212668866610234,0.23740807204807465,EM,0.1
15,0.31389542950256855,0.35242016805400456,-32.842119040805315,0.29249455867956337,0.34923079391884254,5.551115123125783e-17,0.23902846028330854,0.4292151794600133,0.0029655508352713195,0.24854472013853762,EM+mean,0.1
16,0.3138954295025685,0.00041589303925533956,0.003400046604819314,0.448195772937955,-0.00016634643782949233,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.1
17,0.31389542950256855,0.21139183814300982,-33.193803825222304,0.2952411070339562,0.20895411963285682,5.551115123125783e-17,0.24574751882845802,0.6523595710971953,0.0049173640756347385,0.2509861641716812,VBEM+mean,0.1
18,0.37426687668187997,0.23595787832383253,-30.799086326267236,0.295410474376975,0.23358285631789308,0.0,0.24509671446825987,0.5327926073261323,0.0035102995702852684,0.25206541417072814,EM+median,0.1
19,0.37426687668187997,0.16483517517152854,0.00042636247218188935,0.4390695477735478,0.14374946232316996,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.1
20,0.37426687668187997,0.33193268100238627,-30.6146357221031,0.29389901780764505,0.3276964471524867,0.0,0.2176655270190845,0.4686975054109559,0.0028206942245423586,0.22529203665917497,VBEM+median,0.1
21,0.37426687668187997,0.09650806925402652,-31.133783467046094,0.2968558187892742,0.09426490865723104,0.0,0.08128001698026154,0.4178106710902019,0.003246564409405795,0.0773132842532518,EM+mode,0.1
22,0.37426687668187997,0.27380629134131146,0.006103079905610871,0.4369883476236133,0.2812014659906807,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.1
23,0.37426687668187997,0.15629199945912325,-30.975488507571004,0.29563840612679976,0.1514257447526376,0.0,0.14326492420163708,0.3655372104444011,0.002227915139967581,0.1478034395298638,VBEM+mode,0.1
24,0.44426234356786437,-0.00048725015696444497,-26.39627035987035,0.44466968423160974,0.001646073941681657,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
25,0.29206285060021947,0.3742469137708003,-25.457241734627292,0.29276703696737905,0.37373592074832795,0.0033815723708436494,0.23274785607818474,0.4561538731485535,0.0034026754794967244,0.23686098249649104,VBEM,0.2
26,0.29160804921912997,0.3805337492392828,-25.40040231578329,0.2925038436488107,0.3831792706804026,0.0030157613205206214,0.2626337720908526,0.4623963718219868,0.0033782800628823664,0.2653278247837656,EM,0.2
27,0.31304060521170934,0.22508971397308689,-34.0612723309738,0.2959067856642422,0.22455452675042364,5.551115123125783e-17,0.24611704233105008,0.3352101184843664,0.003472489706640868,0.2509564786024486,EM+mean,0.2
28,0.3130406052117094,0.015606257799453592,0.004991738148990241,0.44395382165166447,0.010659916359237919,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.2
29,0.31304060521170934,0.19385936128592396,-33.972044532543556,0.29458600001635044,0.1907647963785734,5.551115123125783e-17,0.21927704884146948,0.2550981655049897,0.0024366073946725246,0.22227876599665056,VBEM+mean,0.2
