,Unnamed: 0,train_ARI,loglike,test_ARI,train_ARI_std,loglike_std,test_ARI_std,method,missing_rate,RMSE_test,RMSE_train,RMSE_test_std,RMSE_train_std
44,44,0.0,-605.9995639670499,0.0,0.0,2.273736754432321e-13,0.0,EM+CC,0.8,0.6083638717636756,0.6093828079720978,1.1102230246251563e-16,0.0
45,45,-0.0008765397501597,0.0,-0.0005877475533041,0.0003573659288145,0.0,0.0032519374224767,KMeans+CC,0.9,,,,
46,46,0.0445462914203731,0.0,-0.0102974940081837,0.0,0.0,3.469446951953614e-18,KMeans+mean,0.9,,,,
47,47,0.0636375591719616,0.0,-0.0156950068711839,0.0,0.0,3.469446951953614e-18,KMeans+mode,0.9,,,,
48,48,0.0636375591719616,0.0,-0.0156950068711839,0.0,0.0,3.469446951953614e-18,KMeans+median,0.9,,,,
49,49,0.0,-605.9995639670499,0.0,0.0,2.273736754432321e-13,0.0,EM+CC,0.9,0.6088841633950167,0.6076147354005924,0.0,0.0
50,50,1.0,-20.5393073133887,1.0,0.0,0.0,0.0,Gibbs,0.0,0.0,0.0,0.0,0.0
51,51,1.0,-20.553781881187035,1.0,0.0,6.833781207288093e-15,0.0,VBEM,0.0,0.0,0.0,0.0,0.0
52,52,1.0,-20.409231601015616,1.0,0.0,2.9724135207732003e-15,0.0,EM,0.0,0.0,0.0,0.0,0.0
53,53,0.9447765344486218,-20.409231601015616,0.9443240625966468,0.0670965106449244,2.157709136297073,0.0334055624420119,EM+mean,0.0,0.0,0.0,0.0,0.0
54,54,1.0,-20.49467338390465,1.0,0.0,1.5888218580782549e-15,0.0,EM+median,0.0,0.0,0.0,0.0,0.0
55,55,1.0,-20.409231601015616,1.0,0.0,1.1234667099445444e-15,0.0,EM+mode,0.0,0.0,0.0,0.0,0.0
56,56,1.0,-20.596612312117685,1.0,0.0,0.0,0.0,Gibbs,0.1,0.3285596269646942,0.3462098901002232,0.0,0.0
57,57,1.0,-20.568940479537176,1.0,0.0,3.749705780863757e-07,0.0,VBEM,0.1,0.3216713462276364,0.3362824749155631,4.4525216732308084e-08,2.9389425620114974e-08
58,58,1.0,-20.61112612730742,1.0,0.0,1.707406941321672e-07,0.0,EM,0.1,0.3215022466951495,0.3362811747565753,9.233993585148e-07,4.890560801903326e-07
59,59,0.9578187845968592,-21.16185847944177,0.9585693468912916,0.05694464079424,1.7566361773671988,0.0372875877978376,EM+mean,0.1,0.5695800941589496,0.5608330633511858,1.1102230246251563e-16,0.0
60,60,1.0,-21.08951081391699,1.0,0.0,3.552713678800501e-15,0.0,EM+median,0.1,0.5879935663836189,0.5731156414385656,1.1102230246251563e-16,0.0
61,61,1.0,-21.089341251905847,1.0,0.0,3.552713678800501e-15,0.0,EM+mode,0.1,0.5879935663836189,0.5731156414385656,1.1102230246251563e-16,0.0
62,62,1.0,-20.60264561185433,1.0,0.0,0.0,0.0,Gibbs,0.2,0.3515011026950849,0.3470093746676784,0.0,0.0
63,63,1.0,-20.58716341855787,1.0,0.0,2.040908294771256e-06,0.0,VBEM,0.2,0.3386214263276333,0.3307703122669373,8.91999191591932e-08,6.735512263005614e-08
64,64,1.0,-20.58089993144392,1.0,0.0,1.9939449927980154e-06,0.0,EM,0.2,0.338628756729582,0.3306830589389927,1.4593686883701376e-06,1.5865855294774978e-06
65,65,1.0,-22.13187559662048,1.0,0.0,6.646518689688359e-15,0.0,EM+mean,0.2,0.5910796973340808,0.5612639958112632,1.1102230246251563e-16,1.1102230246251563e-16
66,66,1.0,-22.2504996705832,1.0,0.0,1.5888218580782549e-15,0.0,EM+median,0.2,0.5980454665928583,0.5678204514603957,1.1102230246251563e-16,1.1102230246251563e-16
67,67,0.944848760401435,-22.1318812100938,0.9448081425909112,0.0595633387664502,1.4263511827859374,0.0496726716681798,EM+mode,0.2,0.5980454665928583,0.5678204514603957,1.1102230246251563e-16,1.1102230246251563e-16
68,68,0.99,-20.63309429247444,0.9996,0.0,0.0,0.0,Gibbs,0.3,0.3516702150849006,0.3477795354353335,0.0,0.0
69,69,0.910602926134496,-20.61009848964712,0.9585693468912916,0.0752691463851474,1.476417905156899,0.0453044191743727,VBEM,0.3,0.3459523314122242,0.3377162541130536,0.0209000209086875,0.0220023258428842
70,70,1.0,-20.5732755797616,1.0,0.0,4.605797821060624e-06,0.0,EM,0.3,0.339029434283369,0.330265846593351,1.426791378422203e-06,5.474548288127724e-07
71,71,1.0,-23.569786082969493,1.0,0.0,2.738289877165359e-12,0.0,EM+mean,0.3,0.58114009924517,0.5762752978406254,1.1102230246251563e-16,0.0
72,72,0.934217109785253,-23.56977445763261,0.9354015491465834,0.0688577291614936,1.1541476506575998,0.0581386057680749,EM+median,0.3,0.5879887321057178,0.5714052678829855,1.1102230246251563e-16,0.0
73,73,1.0,-23.67838261174257,1.0,0.0,3.66599771581005e-13,0.0,EM+mode,0.3,0.5879887321057178,0.5714052678829855,1.1102230246251563e-16,0.0
74,74,1.0,-20.67113791289873,0.95,0.0,0.0,0.0,Gibbs,0.4,0.3682386487383998,0.34433501146305,0.0,0.0
75,75,1.0,-20.625427601204056,1.0,0.0,4.031108561064426e-06,0.0,VBEM,0.4,0.343798268116522,0.3360053700232795,1.2788228895255776e-07,5.503446835855605e-08
76,76,1.0,-20.58169436080589,1.0,0.0,4.864014774266305e-06,0.0,EM,0.4,0.3439922655266171,0.3360356602449498,3.730098846630959e-06,1.2058035297495762e-06
77,77,1.0,-25.14928083631417,0.95,0.0,2.2872066978994797e-09,0.0,EM+mean,0.4,0.5846179589686468,0.5886773762246077,0.0,1.1102230246251563e-16
78,78,0.9255666700139202,-25.148893736760414,0.8900751686248534,0.0761775903354309,0.8839375939837855,0.0719097976501759,EM+median,0.4,0.5738806519702828,0.5720868573611348,0.0,1.1102230246251563e-16
79,79,1.0,-25.1488742018127,0.95,0.0,6.98208479851173e-10,0.0,EM+mode,0.4,0.5738806519702828,0.5720868573611348,0.0,1.1102230246251563e-16
80,80,0.99225,-20.787470776719697,0.9,0.0,0.0,0.0,Gibbs,0.5,0.3598122040123896,0.3585564343619205,0.0,0.0
81,81,0.987525,-20.68112534470741,1.0,0.0,3.171268752053272e-06,0.0,VBEM,0.5,0.3369575867296706,0.333779170565205,1.9258540142377482e-07,1.0067422689871293e-07
82,82,0.89775,-20.64899308623813,0.9,0.02,9.24274940203675e-06,0.0,EM,0.5,0.3369526277153523,0.3540213406160568,1.3611522843222906e-06,1.935294868374467e-06
83,83,0.9357447376025684,-27.44154701779097,0.9,0.01,7.140005562955131e-07,0.01,EM+mean,0.5,0.6059752955360476,0.5879827758764592,1.1102230246251563e-16,0.0
84,84,0.8842787770344271,-27.497117873215387,0.92,0.0576,2.211926021503596e-06,0.03,EM+median,0.5,0.5773502691896258,0.5714118327273655,1.1102230246251563e-16,0.0
85,85,0.9371232900820547,-27.640630897143705,0.89,0.0129248835941416,1.279325771853798e-06,0.02,EM+mode,0.5,0.5773502691896258,0.5714118327273655,1.1102230246251563e-16,0.0
86,86,0.95,-20.969674354832527,0.8731903745876137,0.0,0.0,0.0,Gibbs,0.6,0.3527614233354241,0.3599929060632005,0.0,0.0
87,87,0.910969118071054,-20.740716506355263,0.8614641436978636,0.123255416617724,0.8064024416701613,0.0693645413438453,VBEM,0.6,0.3415935387622868,0.3424069505493693,0.021664860229087,0.0213114897398598
88,88,0.95,-20.78271279140456,0.81,0.0,1.433670577898136e-05,0.0,EM,0.6,0.3512513173250319,0.3648585498159699,5.514376040430415e-06,9.960578140159405e-07
89,89,0.9293172146618648,-30.35895419429636,0.8731903745876137,1.1102230246251563e-16,3.783121759566165e-06,0.01,EM+mean,0.6,0.6132172251583028,0.597348163354507,1.1102230246251563e-16,1.1102230246251563e-16
