,RMSE_test,loglike,test_ARI,train_ARI,RMSE_train,RMSE_test_std,loglike_std,test_ARI_std,train_ARI_std,RMSE_train_std,method,missing_rate
0,0.0,-31.655212882496595,0.18227247375346828,0.17156868615093207,0.0,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,0.0,-31.90479593363609,0.23409963588838045,0.2299884374257642,0.0,0.0,0.5464071791571842,0.24473197210305556,0.2513904018875032,0.0,VBEM,0.0
2,0.0,-32.0348048286228,0.2740470270898852,0.27436387695114706,0.0,0.0,0.6701001387496397,0.24757376716590598,0.25119780443785666,0.0,EM,0.0
3,0.0,-31.875327274065512,0.2743392921726097,0.27146652925766834,0.0,0.0,0.6203110262274927,0.25399165514245803,0.2626687862240192,0.0,EM+mean,0.0
4,0.0,-31.92533217150367,0.2511112001078362,0.24932351253250898,0.0,0.0,0.6276275950484462,0.2569928520487942,0.2657568063345738,0.0,EM+median,0.0
5,0.0,-31.611376941220943,0.380661964922972,0.38737293936128137,0.0,0.0,0.5007940545392048,0.21777883564576114,0.22177046811267767,0.0,EM+mode,0.0
6,0.44279449843556623,-28.136567251409762,0.5569218066099955,0.5667515044189703,0.4447895598204307,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
7,0.29142947425605725,-28.265605762540012,0.44533366146499265,0.4457497304111748,0.2927411830224539,0.002744611173736136,0.36988299695182614,0.2281397731826674,0.23100844719309618,0.00284358261038345,VBEM,0.1
8,0.29383699941719654,-28.655927775853037,0.2720221919720479,0.2649816894654041,0.29514779891273907,0.0032947466344319977,0.5616845353658044,0.23686613677320686,0.24415813183829457,0.003492416128466659,EM,0.1
9,0.29215688256684247,-32.689930807712486,0.4812406074392387,0.48647590715825506,0.31562176243958906,0.0030278667182430797,0.37389974712840107,0.22696589121338792,0.23485188044719096,5.551115123125783e-17,EM+mean,0.1
10,0.294913922302191,-30.595637713286106,0.32715808990837403,0.3274196726815819,0.37655751189467696,0.0039004429121814797,0.5428415034361371,0.2914292784433209,0.2949154914974298,0.0,EM+median,0.1
11,0.29544018444048825,-30.7292492427507,0.332703962364649,0.340955234917425,0.37655751189467696,0.004417249331777631,0.6895335572613221,0.27461626627686,0.2718469695865584,0.0,EM+mode,0.1
12,0.44188660304940297,-25.037334194698193,0.6134363461209728,0.621293450284394,0.44453069729722544,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
13,0.2908027701518445,-25.514852423756892,0.35922691845198695,0.3632829779122454,0.29274062371899506,0.0038752823864084403,0.5539965997447052,0.28392926448815853,0.28696011316855247,0.0039710184656826,VBEM,0.2
14,0.2912973989523906,-25.621649131147052,0.2693363337384694,0.2710095517861416,0.2935134450819705,0.003331674435641426,0.44004509063170305,0.21829404126256863,0.2241791091078715,0.0034555735519945195,EM,0.2
15,0.29031305510283373,-33.70926291796719,0.3789729696426581,0.38653355772347364,0.3144686160184954,0.0023720114546560453,0.26581103734557315,0.23946926624153775,0.2481676803970506,0.0,EM+mean,0.2
16,0.29183903690549784,-28.811576530541025,0.5379022014974016,0.5456302490704348,0.37578053130596223,0.000872434544159333,0.1331334699683611,0.12902463116991703,0.13794941365914162,5.551115123125783e-17,EM+median,0.2
17,0.29413452256529843,-29.08595323063995,0.43100745021644027,0.4410180237988229,0.37578053130596223,0.004161542283133005,0.5118552000308544,0.24938253296989066,0.24987113614131717,5.551115123125783e-17,EM+mode,0.2
18,0.443349967000243,-22.074154902352387,0.6211809515541467,0.6344664716532674,0.44289239745245773,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
19,0.2906229507399637,-22.438668798698465,0.34872871494580926,0.3545040148563033,0.2911352434373656,0.004151153041530001,0.41657465010655603,0.2633495045522701,0.26936468472045877,0.004014007942665459,VBEM,0.3
20,0.2916844945622664,-22.594291224158503,0.175404067537109,0.1752980472637893,0.2925449504223381,0.003278242407787731,0.33714878564854894,0.1958280579444695,0.20231182502394301,0.0031583196108623188,EM,0.3
21,0.29166082699266127,-34.630106074414684,0.2982046200875786,0.29682798024644097,0.31272510827153716,0.0029892986433835713,0.22934451859202565,0.23777704522773305,0.2483051120176104,5.551115123125783e-17,EM+mean,0.3
22,0.2986420020877453,-27.519858049179682,0.3253250794152437,0.32469991407382687,0.373485331164937,0.0032893920658940905,0.38961508447071574,0.26508263905554513,0.2750638188846411,0.0,EM+median,0.3
23,0.29922608464493605,-27.59048038645603,0.26298700518902585,0.26651946660636106,0.373485331164937,0.003303520218364856,0.3955012101257652,0.26066360532384825,0.2663766350826041,0.0,EM+mode,0.3
24,0.4439679638691415,-19.90707649826127,0.0029377510858537804,0.0010187686325391894,0.44144593681948896,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
25,0.29283630592975535,-19.313585462764657,0.23523175034747626,0.23241004260650575,0.2918428686920646,0.00221854870088379,0.24369273027399596,0.25889650360203226,0.26183560320642024,0.002689952019188503,VBEM,0.4
26,0.29285956412945763,-19.272567509929793,0.2934709489528968,0.2944079929905637,0.2913899454886788,0.003048704840424045,0.3014622892914787,0.2783725612179764,0.27716709620635577,0.0032936210391495573,EM,0.4
27,0.2954790031593234,-35.15774979837335,0.39741706973240243,0.3978277225983158,0.3131299908365145,0.0018757597184545507,0.10461503011753187,0.22773351939891726,0.23151396453833203,5.551115123125783e-17,EM+mean,0.4
28,0.30667620115608096,-25.290983771915442,0.42407659159054767,0.4231880101928934,0.3742844514250136,0.0028369269466338993,0.3023319674083091,0.2682501130260605,0.2699537811070992,0.0,EM+median,0.4
