,RMSE_test,train_ARI,test_ARI,loglike,RMSE_train,RMSE_test_std,train_ARI_std,test_ARI_std,loglike_std,RMSE_train_std,method,missing_rate
0,0.0,0.7362214079074254,0.814827496757458,-1.065383490388779,0.0,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,0.0,0.8767194093534976,0.8838908658652201,24.064580184591954,0.0,0.0,0.07921971958418472,0.11471967254209024,0.3169537091627643,0.008413765979810441,VBEM,0.0
2,0.0,0.4912663479553735,0.5398702722769483,-0.4067796903027219,0.0,0.0,0.0498313048690905,0.0618374940947437,0.286841471377302,0.0012909536174547636,EM,0.0
3,0.0,0.4688708986196855,0.5200623572262364,-0.28334527753918337,0.0,0.0,0.0731070009213696,0.0845953314059345,0.3148254356695645,0.006995750386289103,EM+mean,0.0
4,0.0,0.5169903076457493,0.5553668252044509,-0.40488958612654713,0.0,0.0,0.034876977533414,0.0451660830878672,0.1137392447185501,0.0,EM+median,0.0
5,0.0,0.4712880562734274,0.5182416120930049,-0.2517297127106275,0.0,0.0,0.0559859961519968,0.0570525424889202,0.2283795633812018,0.0,EM+mode,0.0
6,0.15392644589024926,0.7394326583092253,0.814827496757458,-1.1610907803960586,0.14403817815384273,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
7,0.1299282887196815,0.895928977357061,0.8967118518157952,23.79527030025089,0.134287673271842,0.0007191324217862,0.09493993018563293,0.08547362210884575,0.2499804740328826,0.005375499330644637,VBEM,0.1
8,0.1370472354253413,0.475019553829283,0.5241520401879859,-0.9922938327689206,0.16305940662360965,0.0016814307135251,0.0494860060428402,0.0644069812717996,0.2008300220015955,0.01244349299275762,EM,0.1
9,0.44585274349979265,0.4854473788871923,0.5172645028485606,-2.622069586206978,0.3121158137459885,0.004539393653962539,0.0843673302950742,0.0822755063573283,0.245512550959366,0.011177398393290064,EM+mean,0.1
10,0.3951806424849103,0.4697503522134105,0.4822697355219661,-3.006773225302771,0.4111526829488688,4.4964032497318837e-17,0.0849070780361986,0.1052815906098859,0.3796093805391213,4.4964032497318837e-17,EM+median,0.1
11,0.8495892226709412,0.1743382674676926,0.1559064779197179,-8.409790877135274,0.8732640489591484,0.0,0.0511222793856932,0.0368302318011284,0.2418077208178537,1.7985612998927535e-16,EM+mode,0.1
12,0.16717145219356694,0.7408237430360898,0.814827496757458,-0.6817690035522954,0.14818721599219054,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
13,0.1432355252888395,0.889750426533636,0.8897565439056763,23.718108625003715,0.13908302127464,0.012983698238483757,0.06871187773264277,0.08419589358154836,0.2585866009490127,0.004194131044510861,VBEM,0.2
14,0.1549206837746542,0.4864678640005286,0.5328884694184489,-1.8805732218855233,0.17349442456309197,0.005732600343709,0.0445156099498233,0.0566356171484412,0.1953242978205522,0.013383082337486446,EM,0.2
15,0.45418576962876883,0.517873263879936,0.5428887049445346,-4.672650703589612,0.31858541906604304,0.00879355857847501,0.0992614918643463,0.0997520143372827,0.2893323021010677,0.0018203181964492894,EM+mean,0.2
16,0.4577905060167133,0.7204033839141777,0.7493607707631439,-4.651887398364186,0.4406293393645296,4.4964032497318837e-17,0.0419019162006482,0.0424605399055157,0.3272843615256934,0.0,EM+median,0.2
17,0.8952404739641342,0.4506450918748357,0.4607154200199296,-13.330641971280947,0.9147142555043006,0.0,0.093082551452981,0.0832313560628448,0.4580540382913898,0.0,EM+mode,0.2
18,0.17309542649306217,0.7530794919261393,0.8583394562821456,-1.5181382789316782,0.1536863688995206,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
19,0.1520267499114451,0.886778074243946,0.8876167518142974,23.438516278844418,0.1431799918503083,0.0025744890699060203,0.06742832960229542,0.07582161607984204,0.2284885450907471,0.0020192681472053103,VBEM,0.3
20,0.1705067723721941,0.5730936213483793,0.6094423204974124,-10.780660850740462,0.17937361459678355,0.0105333623668218,0.0678185090250131,0.0750870035664453,0.1879004795036676,0.01778618369352424,EM,0.3
21,0.3929608653831106,0.6401467155437497,0.6664703169922579,-6.790275093884164,0.2847824684134908,0.01063768305812291,0.06486128876334,0.0783613737114243,0.2653940422209038,0.005350563703557736,EM+mean,0.3
22,0.4565108729103004,0.6930594386744582,0.7884434831982545,-6.518090842259933,0.4417795952306185,4.4964032497318837e-17,0.0933261227581851,0.0983209914845061,0.4553124445221908,0.0,EM+median,0.3
23,0.9310789166527992,0.6524989190611783,0.70409876772348,-18.27753762315419,0.9117476318632042,0.0,0.0911608864393781,0.0995778951410853,0.3084570612479144,0.0,EM+mode,0.3
24,0.17938953063667942,0.6627117178557613,0.7330122000273447,-1.9035661268151252,0.1668383387527526,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
25,0.1583400296487142,0.8906341370788917,0.8899954653023023,23.04916086740441,0.1521614441997744,0.009656147079836773,0.0982224327854741,0.08560952784273392,0.2433600944982688,0.004549964304852121,VBEM,0.4
26,0.18991823865877,0.5421239373629086,0.623941696470385,-23.66956809679704,0.19545811383805542,0.01493359785782,0.0455428721786732,0.0421245330053789,0.1258146606252262,0.012284753328736048,EM,0.4
27,0.39360460854993917,0.6301843916402833,0.6305206744673806,-9.526521714642591,0.29800597046812116,0.01125802311673767,0.0750990971504613,0.090401412385071,0.4115631944796714,0.01004409111515554,EM+mean,0.4
28,0.4818285335124231,0.6870453087811608,0.7437139350528832,-8.86652945637584,0.4684485453568939,4.4964032497318837e-17,0.0766419356494753,0.0744788514922861,0.4063300891387454,4.4964032497318837e-17,EM+median,0.4
