,Unnamed: 0,train_ARI,loglike,RMSE_test,RMSE_train,test_ARI,train_ARI_std,loglike_std,RMSE_test_std,RMSE_train_std,test_ARI_std,method,missing_rate
0,0,0.9506095625225583,-3.3902287778899973,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,1,0.8982188019042366,0.337835614082916,0.0,0.0,0.9500451840079772,0.1027037937543081,0.0382936784431232,0.0,0.0,0.0690575376273721,VBEM,0.0
2,2,0.7912490630366844,-3.3859232958758065,0.0,0.0,0.8533939534912892,0.0830459744217842,0.1077330092344118,0.0,0.0,0.0355207168007783,EM,0.0
3,3,0.6920497193165059,-3.368651604170791,0.0,0.0,0.62977602351057,0.0780813490406444,0.0336310378149915,0.0,0.0,0.0378467884107588,EM+mean,0.0
4,4,0.770790236929462,-3.402820454427841,0.0,0.0,0.8080013530639292,0.1306113538496173,0.0708174735071977,0.0,0.0,0.0789742224797838,EM+median,0.0
5,5,0.7858174897819656,-3.4221633000070333,0.0,0.0,0.8185767397101209,0.1296984604708634,0.0684562002205698,0.0,0.0,0.0763359065625725,EM+mode,0.0
6,6,0.895966328155253,-3.4474825001349885,1.2699552832360117,1.3216050874628755,0.9600140793820292,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
7,7,0.8198623339003754,0.3387888713120817,0.3305368344576112,0.4220945757159506,0.8688999316892273,0.1091931738700305,0.0428487609895111,0.0044614457610026,0.0006885982439954,0.1275598067699229,VBEM,0.1
8,8,0.7094507399296754,-3.38355274834664,0.3374972902854867,0.4298078279908146,0.764935884753694,0.1221301163544661,0.0470546921039499,0.0166860492348236,0.0037643065106023,0.1351862534268747,EM,0.1
9,9,0.7045508810255576,-3.585873889297881,0.8046663802724677,0.7800084948833181,0.6287765723800942,0.0620201354707165,0.0240279215481083,0.0,0.0,0.0716157414216833,EM+mean,0.1
10,10,0.5915452367008552,-3.6585847819601303,0.8377770689189298,0.7731405604499596,0.5691208423040155,0.0654041415589945,0.0263865685663157,1.1102230246251563e-16,2.220446049250313e-16,0.050686259251069,EM+median,0.1
11,11,0.6427015550306907,-3.636746264617023,1.0472480382131026,0.8248078544724344,0.5965929709119994,0.1031040882430866,0.0565124127422185,0.0,0.0,0.1061280681867831,EM+mode,0.1
12,12,0.5944916051353074,-3.599020288645591,1.2452973856360106,1.47378226493934,0.6484164252173045,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
13,13,0.6995796788048743,0.2929506133075409,0.5617855835529362,0.579449962672613,0.7410241338114385,0.1178758925840354,0.0439890958681676,0.0055553817967668,0.0094277755628369,0.1294150442366431,VBEM,0.2
14,14,0.6931299367038318,-3.4747610520774828,0.5633287508965139,0.590759028707927,0.7481152261555892,0.1050092716172479,0.0427400380664188,0.0085540198734017,0.0194584918586567,0.1045332910078397,EM,0.2
15,15,0.5033236201896032,-3.945307686829479,1.0293484930217596,0.946980365185414,0.477699102643813,0.0405172032201774,0.0209002134021458,2.220446049250313e-16,1.1102230246251563e-16,0.0662465937394501,EM+mean,0.2
16,16,0.5100515933083756,-4.034649520980602,1.011517854241994,0.990661932174066,0.5923896311795083,0.0659756995436892,0.0185553809949648,0.0,1.1102230246251563e-16,0.0894841692322893,EM+median,0.2
17,17,0.4867378972956468,-3.9951486224386654,1.2690638811670856,1.0616192549084615,0.5570643790706555,0.0630373902187014,0.0299351363412791,2.220446049250313e-16,2.220446049250313e-16,0.0725461661947861,EM+mode,0.2
18,18,0.6285019190998133,-3.513425762476562,1.3335700744368917,1.454427273778664,0.5351981252662974,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
19,19,0.7022611451439247,0.2512614213717345,0.6960723705823684,0.6689710173006604,0.6308132084192064,0.0833916682626721,0.0229787006249556,0.0144251265320199,0.0105484425804158,0.1263792645446893,VBEM,0.3
20,20,0.6845341298020429,-3.5155270365168105,0.697503919507023,0.6626681640247601,0.6079849463049101,0.0873452226553768,0.0293694035061736,0.012921990944283,0.0100432968196044,0.1179015121633338,EM,0.3
21,21,0.3522452501055327,-4.457751860675601,1.0291831815077592,1.0376733869445078,0.307983208048896,0.0381758785911937,0.0186699736223432,2.220446049250313e-16,0.0,0.0337748486179293,EM+mean,0.3
22,22,0.3755876998779971,-4.441717696437995,1.1197897562160477,1.0491759780359549,0.3378224146801029,0.0962571292309154,0.1022466719521847,2.220446049250313e-16,2.220446049250313e-16,0.1172370716493712,EM+median,0.3
23,23,0.4532536224581881,-4.487509094428657,1.3045528816969527,1.0680712671842358,0.318735879132303,0.1609469697166624,0.0926475133860501,0.0,0.0,0.1274943516529212,EM+mode,0.3
24,24,0.5265593771163861,-3.684908313247497,1.5465894656440424,1.496155017861278,0.4909890869156739,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
25,25,0.5633010386454903,0.2070502018630143,0.7791101465669902,0.6944036482307181,0.513903782556254,0.0859785229125627,0.103733100319214,0.0053981512798842,0.0195037826788816,0.0948720652158892,VBEM,0.4
26,26,0.5237029355772739,-3.621902109599864,0.7449006363516537,0.6846947633916026,0.477208530968064,0.049554587771612,0.0270560171207563,0.0159553466187898,0.0083630409604844,0.0510751458896424,EM,0.4
27,27,0.1154883161569084,-5.550951025273351,1.043052261449223,0.9809235022144231,0.184327062595439,0.0760786646571089,0.0901702970408281,0.0,1.1102230246251563e-16,0.0336335150909617,EM+mean,0.4
