,RMSE_test,RMSE_train,train_ARI,loglike,test_ARI,RMSE_test_std,RMSE_train_std,train_ARI_std,loglike_std,test_ARI_std,method,missing_rate
0,0.0,0.0,0.3768025694723964,0.0038345473092659572,0.38625386553791247,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,0.0,0.0,0.3826765016607256,-181.74866785584305,0.3952594630434582,0.0,0.0,0.016099840201279195,2.5272719052370203,0.017368616825930914,VBEM,0.0
2,0.0,0.0,0.37728576791105894,-177.99503055704653,0.36705048119469846,0.0,0.0,0.017966714919667514,0.5239297150871459,0.019876222486664197,EM,0.0
3,0.0,0.0,0.3825438548980428,-178.23722899751584,0.37382589814391726,0.0,0.0,0.024357443908190248,0.46491388752064877,0.01749464687477881,EM+mean,0.0
4,0.0,0.0,0.4019031625317411,0.004026325469240163,0.4021776680955766,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.0
5,0.0,0.0,0.38545042425486364,-181.57891215924394,0.3912620337058452,0.0,0.0,0.018928633866615543,2.8588115848050415,0.021337760256677666,VBEM+mean,0.0
6,0.0,0.0,0.3735840887466054,-178.1695600575296,0.358643285574441,0.0,0.0,0.023306009291060786,0.6322215358020842,0.030629800216478566,EM+median,0.0
7,0.0,0.0,0.4015038901528353,0.004045291804297922,0.39251405155214725,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.0
8,0.0,0.0,0.38161632326128314,-182.06541130972576,0.39539301353659073,0.0,0.0,0.020125301886219926,2.614230993935451,0.019032151909982923,VBEM+median,0.0
9,0.0,0.0,0.37462384291026046,-178.29088932871596,0.3624556296549072,0.0,0.0,0.030023970638884637,0.598272129109405,0.03251849794178332,EM+mode,0.0
10,0.0,0.0,0.3562369744808007,0.004087153860964714,0.35715443986328443,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.0
11,0.0,0.0,0.3825000973499261,-181.20636052324375,0.3882622901414833,0.0,0.0,0.02821055209303824,2.5229873503675364,0.01851445382986298,VBEM+mode,0.0
12,0.45322429205339665,0.4493152966720478,0.3534976088424227,-161.14653981347578,0.3612153416909171,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
13,0.2780381149947786,0.27275919446422203,0.3834316061696271,-163.58836536416874,0.38592702159174797,0.001788060283441063,0.001734626314826133,0.020034867950986513,1.865314551475143,0.014914160680641346,VBEM,0.1
14,0.2768254811953911,0.271422174268029,0.390113060727594,-160.75183716581563,0.39633271049432006,0.0009242860410271673,0.00030016081208604267,0.029509567859042504,0.41366296200272595,0.02689043112810727,EM,0.1
15,0.2763604703904126,0.3163555467315495,0.38433498536738153,-191.42051903341212,0.38820576977729015,0.0007768877955561113,0.0,0.023061711272618107,0.5187907353722289,0.018469971082275233,EM+mean,0.1
16,0.4524465396180142,0.3163555467315495,0.3613985214477455,0.006139919883984428,0.3892857376524327,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.1
17,0.28046476163021883,0.3163555467315495,0.3785587365065043,-195.9658034581784,0.39278390028911986,0.0023995044922407185,0.0,0.02025463156083983,2.395943630803188,0.012429260329608427,VBEM+mean,0.1
18,0.2792889298650457,0.3949429781955559,0.3706389923609125,-178.47960382795992,0.35155930646966416,0.0006059783977455304,0.0,0.03081095130866107,0.5910862587479802,0.02994218063718863,EM+median,0.1
19,0.4488229870643593,0.3949429781955559,0.36745564577250384,0.005186482196469604,0.3725213513382177,0.0,0.0,0.0,0.0,0.0,Gibbs+median,0.1
20,0.27928360704851973,0.3949429781955559,0.3711705588436486,-180.6015454455416,0.37971310525525653,0.0016920804310192282,0.0,0.01992072681397182,1.7370816722527758,0.022861758225386535,VBEM+median,0.1
21,0.27940788985373266,0.3949429781955559,0.3792570871301881,-178.4844647021278,0.37051472553068027,0.0008904691202363633,0.0,0.02005159276586037,0.45472864362422666,0.01667499054052101,EM+mode,0.1
22,0.45046074673865594,0.3949429781955559,0.382380799403567,0.005859782163908779,0.40362291102380166,0.0,0.0,0.0,0.0,0.0,Gibbs+mode,0.1
23,0.2802081461439671,0.3949429781955559,0.37663989784457086,-181.76811023580237,0.3897461090680414,0.00312393357316156,0.0,0.023813370287961814,2.9749939943076664,0.021866001925734402,VBEM+mode,0.1
24,0.4529901053810919,0.44990942617728846,0.42086367735643704,-144.42521407755387,0.41024171543204174,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
25,0.2780106367259937,0.2728756822162485,0.37543944410576324,-145.6472842637993,0.3815883038315821,0.0014476785301127475,0.0010943632498704547,0.02068533716609331,1.005689797288795,0.018850820599248103,VBEM,0.2
26,0.27643296862177397,0.27093060144899406,0.38090908542242036,-142.47774812477073,0.3733122413398364,0.0007371967125707297,0.00035917490600504207,0.019687117887116436,0.44612721308733094,0.02578092575800371,EM,0.2
27,0.2776473594582898,0.31632287056430836,0.3851375518581194,-201.8642336675197,0.39265713749815107,0.000491971212688827,5.551115123125783e-17,0.029445335079472876,0.24033003310180345,0.03245876089542386,EM+mean,0.2
28,0.4532915030320366,0.3163228705643084,0.38247007324675025,0.009842802683314184,0.3875271411942235,0.0,0.0,0.0,0.0,0.0,Gibbs+mean,0.2
29,0.2806634756114349,0.31632287056430836,0.3650919477617184,-205.3429290505559,0.38098748914704694,0.0030573968478876117,5.551115123125783e-17,0.021688528258219073,2.0996906512869518,0.02495853428682244,VBEM+mean,0.2
30,0.28393376255705677,0.39513510467432844,0.36969656979542326,-174.85070597389554,0.36295335021828096,0.0006687223063090094,5.551115123125783e-17,0.029080727818473606,0.4009916262505525,0.03665589450283518,EM+median,0.2
