,test_ARI,RMSE_train,train_ARI,RMSE_test,loglike,test_ARI_std,RMSE_train_std,train_ARI_std,RMSE_test_std,loglike_std,method,missing_rate
0,0.5538461538461539,0.0,0.5672727272727273,0.0,-2.3760710879988305,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,0.5642930122723995,0.0,0.5995748911510044,0.0,1.5397949673676656,0.0456001409538162,0.0,0.0686194978100318,0.0,0.0099355267917955,VBEM,0.0
2,0.5812611296785388,0.0,0.5562255825215913,0.0,-2.076420775349809,0.1144124012536152,0.0018632020772595802,0.0826566278557312,0.0,0.197750749262365,EM,0.0
3,0.5295394607635235,0.0,0.5034468955399561,0.0,-1.926420271251947,0.0464892153279645,0.025227412643101493,0.0662880105414208,0.028908221116944386,0.1597973850367629,EM+mean,0.0
4,0.5774906258271938,0.0,0.5652598732241254,0.0,-2.0206276716523344,0.1096470733843012,0.0,0.1018555196266585,0.0,0.0268586340833647,EM+median,0.0
5,0.5395655907228571,0.0,0.5269038812602516,0.0,-1.966624699265606,0.025659554484438,0.0,0.0099855067205524,0.0,0.0109968353254774,EM+mode,0.0
6,0.5538461538461539,0.4271938445211145,0.5672727272727273,0.33600735355025235,-2.476742709890594,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
7,0.600686615298944,0.3682988932222806,0.5505573671967496,0.3053728620524726,1.481312935780038,0.1058750497948798,0.0042257018775908,0.0742384746041099,0.0289329102284331,0.1878820945217678,VBEM,0.1
8,0.5072511786256247,0.3899834047379534,0.507562909079175,0.2927019343605547,-2.3172636891502187,0.0296534377569925,0.01260878067381978,0.0362069276104228,0.0265730576460846,0.147890900595508,EM,0.1
9,0.410844927324531,0.7103432938680463,0.4928136007223795,0.7015056730710567,-2.802067354628318,0.0710575445877302,0.025227412643101604,0.0601754911316786,0.028908221116944497,0.1865682968411156,EM+mean,0.1
10,0.4537332901879567,0.7902379256326969,0.5137612617515326,0.7894354217831658,-2.7224079977425126,0.0961030784734787,1.1102230246251563e-16,0.0804346526187317,0.0,0.2617111571467878,EM+median,0.1
11,0.4230817808267336,1.2772851652940904,0.4186419118317984,1.3486812702679187,-2.9180365752642574,0.1106840261253106,0.0,0.0824371433417606,2.220446049250313e-16,0.3063897433213122,EM+mode,0.1
12,0.5538461538461539,0.4664111590520487,0.5672727272727273,0.4322940106804545,-2.469521944963878,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
13,0.5724488695165225,0.4476567481249029,0.6052639360877449,0.3730540815029418,1.419289002954798,0.0782126825019286,0.0083758537315722,0.057269303061866,0.0111251431309843,0.0177632188396379,VBEM,0.2
14,0.5501928641271042,0.4989143372985891,0.531143608361063,0.4004307943851826,-2.159712317550519,0.0351071977284888,0.02307918604388988,0.0444303595234551,0.0261540616689704,0.0756637980662416,EM,0.2
15,0.1682294317172815,0.8393679264425133,0.3848331031342795,0.7282561970839084,-3.3181017031183457,0.0644831625104455,0.025227412643101604,0.0621682420766616,0.028908221116944386,0.1628369347330658,EM+mean,0.2
16,0.3794621859883357,0.94520117739313,0.4201487041100332,0.911939910339535,-3.263254125921178,0.0748791860386513,0.0,0.078701628937725,0.0,0.1400949214660768,EM+median,0.2
17,0.3258947726449119,1.3241728837042197,0.3641255960437839,1.280151863010079,-3.376386532501191,0.0959704389825335,0.0,0.0632879960337063,0.0,0.3811869004664257,EM+mode,0.2
18,0.4349796103307657,0.6890298729251766,0.5330163112212819,0.6513803275765813,-2.77703009678178,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
19,0.4321376337658139,0.523535259298448,0.5253231602724893,0.552360265458783,1.28694397681148,0.0739715708477703,0.0207228786539447,0.0640285508631685,0.0208516838518284,0.1309813428533775,VBEM,0.3
20,0.4100555772113842,0.6056574464201271,0.4955417300911552,0.6056013442681601,-2.272709748542544,0.0275327532668776,0.02361021634973858,0.0177203749098695,0.0326548707005124,0.1153095375535382,EM,0.3
21,0.0776945769413097,0.9678394537365957,0.1644229802283045,0.9758477038646084,-4.329746823741057,0.0568399754098804,0.025227412643101493,0.0571439060653335,0.028908221116944608,0.6077043891513424,EM+mean,0.3
22,0.1399560844110945,1.0901861274529625,0.1444147790719829,1.1229185444413905,-4.620257471529762,0.0677821979076752,2.220446049250313e-16,0.0596156664390908,0.0,0.5272642789172197,EM+median,0.3
23,0.1500434365873471,1.4595081031937869,0.2211748897419559,1.517394522214574,-4.212540906885116,0.0610200737367699,2.220446049250313e-16,0.0753965862949459,2.220446049250313e-16,1.1606841326782933,EM+mode,0.3
24,0.4349796103307657,0.7934969651917158,0.5302297169128877,0.7424023442902874,-2.495700933073252,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
25,0.4520883976859057,0.5684588329107054,0.5261856891438341,0.6660515243992433,1.105393174590412,0.0723271095925974,0.007292283938049,0.0612360287304768,0.0239970382033177,0.0415274696486647,VBEM,0.4
26,0.4096993806654067,0.7810226878863641,0.5481402381883868,0.6474909684028152,-4.157036035934893,0.0719405371346413,0.01758022649283488,0.0663105599542549,0.0147067554534902,0.0827942554497107,EM,0.4
27,0.0585428943822767,1.0219629883623005,0.0239815941251887,0.9953558129386232,-5.084584280040479,0.0425497225088708,0.025227412643101715,0.0224158606752441,0.028908221116944386,0.90165768122655,EM+mean,0.4
28,0.0783025716040455,1.0297498542530323,0.068701242596253,1.0641351838041282,-4.887683762049191,0.0482366302666231,0.0,0.0608321793240312,0.0,0.8327329500788067,EM+median,0.4
29,0.0527952927930027,1.4018768545295806,0.1635087854103191,1.396493872785884,-5.199507594172904,0.0380216613342996,2.220446049250313e-16,0.0851607139486513,0.0,0.7940219333007777,EM+mode,0.4
30,0.4349796103307657,0.8562916346239859,0.4044046489944861,0.7796657764250957,-2.943975107172803,0.0,0.0,0.0,0.0,0.0,Gibbs,0.5
31,0.3870326091948372,0.6930106787508334,0.454112570526945,0.6300914601700593,0.9950270259882416,0.0663269683143878,0.0060768508154866,0.0629708888945062,0.0236933941812815,0.0208355086985211,VBEM,0.5
32,0.3442195766685103,0.8348333190647488,0.4110373670791136,0.6880905132156482,-3.0507275588557112,0.0640497320020142,0.01918180988025498,0.0657655146425624,0.037875617100178,20.05940919048373,EM,0.5
33,0.0218459886706716,1.0296358282509748,0.0177053396836806,0.9721758068553364,-5.53365104085785,0.025893545041635,0.025227412643101715,0.0152800985977194,0.028908221116944386,20.267820610497743,EM+mean,0.5
34,0.0573241555512049,1.0491656131285645,0.0617928700932239,1.0205379207314238,-5.495192842175127,0.0517531455523073,2.220446049250313e-16,0.0491611115334964,1.1102230246251563e-16,0.9857047743910432,EM+median,0.5
35,0.0101327507267947,1.3616053555191594,0.0233501057621712,1.4945350992195712,-5.7915546457747045,0.0267057196598442,0.0,0.0204304044806626,2.220446049250313e-16,0.5014881598436662,EM+mode,0.5
36,0.4984615384615385,0.9309187832320204,0.4071636363636363,0.8528219910653864,-3.096620586468518,0.0,0.0,0.0,0.0,0.0,Gibbs,0.6
37,0.4141544366502807,0.7476670851994629,0.4635797942886106,0.6905091595766686,0.5607161702862011,0.0863132588206558,0.0601707840736939,0.0163334996682138,0.0738315835681816,0.0221556856185039,VBEM,0.6
