,loglike,test_ARI,train_ARI,loglike_std,test_ARI_std,train_ARI_std,method,missing_rate,RMSE_test,RMSE_train,RMSE_test_std,RMSE_train_std
0,0.0,0.5004518400797731,0.5119909755060983,0.0,1.1102230246251565e-16,0.0,KMeans+CC,0.0,,,,
1,0.0,0.6823467567223143,0.724985312284981,0.0,0.0,0.0,KMeans+mean,0.0,,,,
2,0.0,0.6823467567223143,0.724985312284981,0.0,0.0,0.0,KMeans+mode,0.0,,,,
3,0.0,0.6823467567223143,0.724985312284981,0.0,0.0,0.0,KMeans+median,0.0,,,,
4,-3.374598000521163,0.7796245614658405,0.7941832588172099,0.051660317749762305,0.12064858576241018,0.10137721974434799,EM+CC,0.0,0.0,0.0,0.0,0.0
5,0.0,0.2904812407565968,0.3327914903968074,0.0,5.551115123125783e-17,0.0,KMeans+CC,0.1,,,,
6,0.0,0.7044784714252008,0.7103583817820647,0.0,0.0,1.1102230246251565e-16,KMeans+mean,0.1,,,,
7,0.0,0.6159491810413511,0.7413103204122702,0.0,0.0,0.0,KMeans+mode,0.1,,,,
8,0.0,0.7044784714252008,0.7103583817820647,0.0,0.0,1.1102230246251565e-16,KMeans+median,0.1,,,,
9,-3.491048426191022,0.7825235132075842,0.3316220137076042,0.12004807501416348,0.16308793758687354,0.09624416237663833,EM+CC,0.1,0.38648982498075346,0.515534808057728,0.012377761914228654,0.02403710967422032
10,0.0,0.17057239535574525,0.16645925791518307,0.0,0.0,2.7755575615628914e-17,KMeans+CC,0.2,,,,
11,0.0,0.659446619451898,0.6233623956619538,0.0,1.1102230246251565e-16,1.1102230246251565e-16,KMeans+mean,0.2,,,,
12,0.0,0.6371836020983096,0.6093725071268378,0.0,1.1102230246251565e-16,0.0,KMeans+mode,0.2,,,,
13,0.0,0.659446619451898,0.6233623956619538,0.0,1.1102230246251565e-16,1.1102230246251565e-16,KMeans+median,0.2,,,,
14,-3.624763657470183,0.657769961522243,0.06598012382206671,0.09913642819073089,0.13438277666614679,0.0506369380010719,EM+CC,0.2,0.5782595351881146,0.5931317130524711,0.012476639013118886,0.019449605527208255
15,0.0,0.1471229785633697,0.06645724106236077,0.0,0.0,1.3877787807814457e-17,KMeans+CC,0.3,,,,
16,0.0,0.5077554693570804,0.47342520873628285,0.0,1.1102230246251565e-16,5.551115123125783e-17,KMeans+mean,0.3,,,,
17,0.0,0.3759195612595604,0.47342520873628285,0.0,0.0,5.551115123125783e-17,KMeans+mode,0.3,,,,
18,0.0,0.4023238165022375,0.47342520873628285,0.0,0.0,5.551115123125783e-17,KMeans+median,0.3,,,,
19,-4.1532946211258235,0.42556169097815566,0.02965819544948059,0.3210827577658087,0.17695121235665615,0.031122364265370878,EM+CC,0.3,0.6995022652388527,0.7198696254044057,0.01387641733105575,0.029600872128474197
20,0.0,-0.021656248937585908,0.027430841403250507,0.0,3.469446951953614e-18,0.0,KMeans+CC,0.4,,,,
21,0.0,0.37888236819156706,0.519318706460783,0.0,0.0,1.1102230246251565e-16,KMeans+mean,0.4,,,,
22,0.0,0.24808669326022273,0.35308914102697814,0.0,2.7755575615628914e-17,5.551115123125783e-17,KMeans+mode,0.4,,,,
23,0.0,0.37888236819156706,0.519318706460783,0.0,0.0,1.1102230246251565e-16,KMeans+median,0.4,,,,
24,-5.530697653869617,0.20647047839737548,0.0011067408781469952,0.5159478796053254,0.1472996338428942,0.015371640313447907,EM+CC,0.4,0.7479802345267291,0.7419148695750082,0.02948918306504738,0.011382416674076362
25,0.0,-0.0002831794617659457,0.010270677047301488,0.0,5.421010862427522e-20,0.0,KMeans+CC,0.5,,,,
26,0.0,0.40448006305203305,0.47241438765738664,0.0,0.0,0.0,KMeans+mean,0.5,,,,
27,0.0,0.2739182120425213,0.22828733340402438,0.0,5.551115123125783e-17,2.7755575615628914e-17,KMeans+mode,0.5,,,,
28,0.0,0.40448006305203305,0.47241438765738664,0.0,0.0,0.0,KMeans+median,0.5,,,,
29,-9.68828721385299,0.16319347218600727,0.002194028598603916,4.332038219168267,0.1144365179295592,0.005701389108805345,EM+CC,0.5,0.7946004112712788,0.7787856864733674,0.018847871478346892,0.013082461037679086
30,0.0,-0.005748148984660359,-0.0002175145094581243,0.0,0.012740960994445088,0.0,KMeans+CC,0.6,,,,
31,0.0,0.08728903180321387,0.1322785114235039,0.0,1.3877787807814457e-17,0.0,KMeans+mean,0.6,,,,
32,0.0,0.10785789839140618,0.17843417578189963,0.0,0.0,0.0,KMeans+mode,0.6,,,,
33,0.0,0.05442384365672455,0.1322785114235039,0.0,0.0,0.0,KMeans+median,0.6,,,,
34,-24.010538248094814,0.09754707488407796,-0.0059116878167668075,22.74432857828803,0.1255085731409559,0.001893073046773282,EM+CC,0.6,0.8556174224962401,0.8790920249446236,0.05348477584809425,0.04111134026343591
35,0.0,-0.002573344405585774,0.009558086186592759,0.0,0.012974878820711478,0.0,KMeans+CC,0.7,,,,
36,0.0,0.05889452353592832,0.037278487999152655,0.0,6.938893903907228e-18,6.938893903907228e-18,KMeans+mean,0.7,,,,
37,0.0,0.2346815548220968,0.12913909189150638,0.0,2.7755575615628914e-17,2.7755575615628914e-17,KMeans+mode,0.7,,,,
38,0.0,0.05889452353592832,0.037278487999152655,0.0,6.938893903907228e-18,6.938893903907228e-18,KMeans+median,0.7,,,,
39,-0.022358990349137648,0.0513281160167036,0.0005184341166322874,0.007902147204544938,0.04065363033966415,0.0021984611005079215,EM+CC,0.7,1.4676521329285932,1.6395320579328758,0.27492827070606995,0.3565343839177076
