,test_ARI,loglike,train_ARI,test_ARI_std,loglike_std,train_ARI_std,method,missing_rate,RMSE_train,RMSE_test,RMSE_train_std,RMSE_test_std
0,0.7166070570447937,0.0,0.7186125348582577,0.0,0.0,0.0,KMeans+CC,0.0,,,,
1,1.0,0.0,1.0,0.0,0.0,0.0,KMeans+mean,0.0,,,,
2,1.0,0.0,1.0,0.0,0.0,0.0,KMeans+mode,0.0,,,,
3,1.0,0.0,1.0,0.0,0.0,0.0,KMeans+median,0.0,,,,
4,0.5516764335793335,9.779809889322284,0.5111457701845509,0.04640406554133332,0.15047572013771676,0.045747332557270225,EM+CC,0.0,0.0,0.0,0.0,0.0
5,-0.004862591697982341,0.0,0.0015041058491053502,8.673617379884035e-19,0.0,0.0,KMeans+CC,0.1,,,,
6,0.7750600326253255,0.0,0.7694233610312368,0.0,0.0,0.0,KMeans+mean,0.1,,,,
7,1.0,0.0,0.9814822594741239,0.0,0.0,0.0,KMeans+mode,0.1,,,,
8,0.7750600326253255,0.0,0.7694233610312368,0.0,0.0,0.0,KMeans+median,0.1,,,,
9,0.030015120277545625,-0.1372323003624694,-6.272172920594996e-05,0.025523845393914623,0.04167621482344298,2.6305470391692072e-05,EM+CC,0.1,0.5130987007883816,0.49811096892811024,0.16842100902725265,0.19157973189116517
10,0.0009727338004475456,0.0,-0.00019141022474980065,0.004087850901579878,0.0,0.0007970101246663967,KMeans+CC,0.2,,,,
11,0.9916244152497271,0.0,0.9916433681879319,2.220446049250313e-16,0.0,0.0,KMeans+mean,0.2,,,,
12,0.7768272377562153,0.0,0.7443106873649683,1.1102230246251565e-16,0.0,0.0,KMeans+mode,0.2,,,,
13,0.9916244152497271,0.0,0.9916433681879319,2.220446049250313e-16,0.0,0.0,KMeans+median,0.2,,,,
14,0.614591998796765,-0.0034495808230410505,-1.1803520459227593e-06,0.14714482796351547,0.002622802662165718,6.256091695301116e-07,EM+CC,0.2,0.3972428934839424,0.40342579137791157,0.007353727952235465,0.008861105269948155
15,-0.0010944754854543617,0.0,-0.0009948874752599775,0.0036441495758910954,0.0,0.0007511637764065636,KMeans+CC,0.3,,,,
16,0.6994673776403417,0.0,0.704703064507491,1.1102230246251565e-16,0.0,1.1102230246251565e-16,KMeans+mean,0.3,,,,
17,0.774414921970662,0.0,0.7337174691633328,1.1102230246251565e-16,0.0,0.0,KMeans+mode,0.3,,,,
18,0.6994673776403417,0.0,0.704703064507491,1.1102230246251565e-16,0.0,1.1102230246251565e-16,KMeans+median,0.3,,,,
19,0.18472969642196935,0.0,0.0,0.0,0.0,0.0,EM+CC,0.3,0.6583242859022607,0.6589957381712708,0.0,0.0
20,-0.0005067522709315534,0.0,0.0002685015847378214,0.0044910821614892755,0.0,0.0009371588648722414,KMeans+CC,0.4,,,,
21,0.9351083158334562,0.0,0.9243896878939586,0.0,0.0,0.0,KMeans+mean,0.4,,,,
22,0.6854327372522937,0.0,0.6094937370319624,0.0,0.0,0.0,KMeans+mode,0.4,,,,
23,0.9351083158334562,0.0,0.9243896878939586,0.0,0.0,0.0,KMeans+median,0.4,,,,
24,0.0,0.0,0.0,0.0,0.0,0.0,EM+CC,0.4,0.6894960545459256,0.6842597157569287,1.1102230246251565e-16,1.1102230246251565e-16
25,0.0018118121627880603,0.0,-0.00040147172744794057,0.004178241126689512,0.0,0.001125351905948416,KMeans+CC,0.5,,,,
26,0.85806358783832,0.0,0.8950665131941736,1.1102230246251565e-16,0.0,1.1102230246251565e-16,KMeans+mean,0.5,,,,
27,0.39964982811243743,0.0,0.23608480775794066,0.0,0.0,5.551115123125783e-17,KMeans+mode,0.5,,,,
28,0.85806358783832,0.0,0.8950665131941736,1.1102230246251565e-16,0.0,1.1102230246251565e-16,KMeans+median,0.5,,,,
29,0.0,0.0,0.0,0.0,0.0,0.0,EM+CC,0.5,0.6896078722686168,0.6858095527150783,0.0,0.0
30,0.0002889595878762947,0.0,0.00022673415132538557,0.00643140269434159,0.0,0.0007777978461039897,KMeans+CC,0.6,,,,
31,0.36929549806204076,0.0,0.4466557818430893,0.0,0.0,5.551115123125783e-17,KMeans+mean,0.6,,,,
32,0.2468225639337926,0.0,0.12208423346107103,2.7755575615628914e-17,0.0,0.0,KMeans+mode,0.6,,,,
33,0.36929549806204076,0.0,0.4466557818430893,0.0,0.0,5.551115123125783e-17,KMeans+median,0.6,,,,
34,0.0,0.0,0.0,0.0,0.0,0.0,EM+CC,0.6,0.6907583851294001,0.6954513489245355,0.0,0.0
35,-0.001128956759440142,0.0,-0.0003657843029761185,0.0038091302735373113,0.0,0.0010116796421701516,KMeans+CC,0.7,,,,
36,0.31182462924452803,0.0,0.2704171945237568,0.0,0.0,0.0,KMeans+mean,0.7,,,,
37,0.08571896432906788,0.0,0.06912123826860218,0.0,0.0,0.0,KMeans+mode,0.7,,,,
38,0.31182462924452803,0.0,0.2704171945237568,0.0,0.0,0.0,KMeans+median,0.7,,,,
39,0.0,0.0,0.0,0.0,0.0,0.0,EM+CC,0.7,0.6865562556248317,0.6885764445532543,1.1102230246251565e-16,1.1102230246251565e-16
40,0.0010162085257196993,0.0,0.00014625856031835041,0.0034743347923218548,0.0,0.0007107149475119376,KMeans+CC,0.8,,,,
41,0.09920185721098776,0.0,0.09010680642920073,0.0,0.0,1.3877787807814457e-17,KMeans+mean,0.8,,,,
42,0.015959755191545803,0.0,0.02556320023367862,0.0,0.0,0.0,KMeans+mode,0.8,,,,
43,0.09920185721098776,0.0,0.09010680642920073,0.0,0.0,1.3877787807814457e-17,KMeans+median,0.8,,,,
