,Unnamed: 0,loglike,RMSE_test,RMSE_train,train_ARI,test_ARI,loglike_std,RMSE_test_std,RMSE_train_std,train_ARI_std,test_ARI_std,method,missing_rate
0,0,8.934616509611221,0.0,0.0,0.6145933783349405,0.6121919584954605,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,1,34.064580184591954,0.0,0.0,0.9734909225002054,0.977225370208363,0.2287904389514395,0.0,0.0,0.0795272324993837,0.0683238893749113,VBEM,0.0
2,2,9.593220309697278,0.0,0.0,0.4819061921216613,0.5362981949945926,0.4888506203149509,0.0,0.0,0.1014460793176151,0.1003031815937437,EM,0.0
3,3,9.76070094256264,0.0,0.0,0.5270824823497803,0.5717134271540607,0.1747456722100407,0.0,0.0,0.0413740195401439,0.0402583890146685,EM+CC,0.0
4,4,9.716654722460817,0.0,0.0,0.5028766661240691,0.5509009962188809,0.1382063590173333,0.0,0.0,0.0430966985505267,0.0434926068907997,EM+mean,0.0
5,5,9.595110413873453,0.0,0.0,0.4718832902692514,0.5254305735524252,0.4365179307957394,0.0,0.0,0.0933804329011323,0.0987317138403158,EM+median,0.0
6,6,9.748270287289373,0.0,0.0,0.5151762332512979,0.5611268047054536,0.1560150482347427,0.0,0.0,0.0460734633438212,0.0415124637595405,EM+mode,0.0
7,7,8.838909219603941,0.533805286111819,0.5495436319726704,0.6145933783349405,0.6121919584954605,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
8,8,33.79527030025089,0.1550786443593372,0.1602926211727296,0.9190445834697896,0.920645761731284,0.3135966884728678,0.0003310997412913,0.0006162855225907,0.1238242588833117,0.1220408006399222,VBEM,0.1
9,9,9.00770616723108,0.1620491331891103,0.1760676278138868,0.5135159772480504,0.5659333009893928,0.2337161699884656,0.0026223530197437,0.0024721573536144,0.0367682215196576,0.0393224880843627,EM,0.1
10,10,-0.1453097406979737,0.4325127944604598,0.40912384590138,-6.311296528299183e-05,0.0307512396116836,0.0424763175242991,0.1465543804945521,0.0925016708393532,2.5988900218020945e-05,0.0290466357404946,EM+CC,0.1
11,11,7.377930413793022,0.4430728814170144,0.4541491404044576,0.4914785314773738,0.5206498912380431,0.3278123404321107,0.0,5.551115123125783e-17,0.1000952350441159,0.1072383496354899,EM+mean,0.1
12,12,6.993226774697229,0.4716322263813228,0.4918094293646756,0.492382621313771,0.5025523487859616,0.3851885912612504,5.551115123125783e-17,5.551115123125783e-17,0.108337903312553,0.1177391618833336,EM+median,0.1
13,13,1.5902091228647257,1.0139506178194786,1.0445742212430005,0.1664300396182702,0.1666851582186484,0.2841942718247155,0.0,2.220446049250313e-16,0.0203068935582507,0.0273814309144291,EM+mode,0.1
14,14,9.318230996447705,0.653174654445404,0.6567036881994731,0.7818055921571766,0.7803085966201323,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
15,15,33.718108625003715,0.1543300672598662,0.1541164275333544,0.9440426340747712,0.943557835791383,0.251181475759666,0.0006567834928134,0.0003800150321834,0.11191657440258,0.1128843284172339,VBEM,0.2
16,16,8.119426778114477,0.1670351144566237,0.1739595003478874,0.5107008383029502,0.5634692957131467,0.3995699255125253,0.0024519877458833,0.0012659165254921,0.0414057201514396,0.0309286205374498,EM,0.2
17,17,-0.003874794954852,0.4004274100978224,0.3937572621341815,-1.1109656415241597e-06,0.5688168749709013,0.002996705415309,0.0088009487501332,0.0078670024927946,7.086807444211758e-07,0.1874304982494468,EM+CC,0.2
18,18,5.327349296410388,0.450225566805324,0.4521282936504202,0.6189627109935487,0.6445773929737197,0.2993958665623838,5.551115123125783e-17,5.551115123125783e-17,0.1179530965317874,0.1209615535682752,EM+mean,0.2
19,19,5.348112601635814,0.4943208141849836,0.4895881548494773,0.6964587474464865,0.7330894840206365,0.2396032730938145,5.551115123125783e-17,0.0,0.0967500118354749,0.090987270361661,EM+median,0.2
20,20,-3.330641971280947,0.9666779764216976,1.0163491727825562,0.4788647451063367,0.4964297772453021,0.4424954535002,0.0,0.0,0.1148690557490296,0.118169279629549,EM+mode,0.2
21,21,8.481861721068322,0.5616871871155775,0.5750433913425642,0.6127303079005476,0.6121919584954605,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
22,22,33.43851627884442,0.1597769093537781,0.158733436917263,0.9144443957523092,0.9159771993332552,0.2726631045463532,0.0005248827944645,0.000862384283241,0.1275026659254436,0.1283562158357349,VBEM,0.3
23,23,-0.7806608507404624,0.1805135657095642,0.1809647479258654,0.5446707069963742,0.5726454255520551,9.060563538898895,0.0051230746850079,0.0030139200095333,0.0737463963859916,0.0831240093684081,EM,0.3
24,24,0.0,0.6589957381712708,0.6583242859022607,0.0,0.1847296964219693,0.0,0.0,0.0,0.0,0.0,EM+CC,0.3
25,25,3.209724906115836,0.4452696321264963,0.4508865475757195,0.6417605568840545,0.6618109227992321,0.2224837573578514,5.551115123125783e-17,0.0,0.1315193627722484,0.1323545218083017,EM+mean,0.3
26,26,3.481909157740067,0.480537760958211,0.4908662169229095,0.7423711899376253,0.7494478776769007,0.2419067722466405,5.551115123125783e-17,0.0,0.0783627311060226,0.0590236307526677,EM+median,0.3
27,27,-8.277537623154188,0.9800830701608414,1.013052924292449,0.6212795274988243,0.6257908035493176,0.6045113857599145,0.0,0.0,0.0846487374677721,0.0936325528525238,EM+mode,0.3
28,28,8.096433873184875,0.5431747755614207,0.544861531997926,0.6013608894629683,0.6121919584954605,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
