,train_ARI,test_ARI,RMSE_test,loglike,RMSE_train,train_ARI_std,test_ARI_std,RMSE_test_std,loglike_std,RMSE_train_std,method,missing_rate
0,0.9410120493018651,1.0,0.0,-3.3902287778899973,0.0,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,0.8157329361902821,0.852912462130447,0.0,0.337835614082916,0.0,0.1915343931588356,0.2247942994313418,0.0,0.059753983256426016,0.0,VBEM,0.0
2,0.7402119053387927,0.7607948038972994,0.0,-3.3859232958758065,0.0,0.1532371084861431,0.16374237167373418,0.0,0.05672301079616786,0.0,EM,0.0
3,0.7935118381731631,0.8344330637166136,0.0,-3.367512782836845,0.0,0.17556132475020264,0.20432396647401713,0.0,0.06707538219280222,0.0,EM+CC,0.0
4,0.8056564226268315,0.8410149837250784,0.0,-3.368651604170791,0.0,0.14890649219665847,0.16983423281892907,0.0,0.06478909314215742,0.0,EM+mean,0.0
5,0.6958154845347921,0.7034379787234418,0.0,-3.402820454427841,0.0,0.15172091137396063,0.16179470560931658,0.0,0.05761964835708326,0.0,EM+median,0.0
6,0.645691973654493,0.6688973790257892,0.0,-3.4221633000070333,0.0,0.1458677703467592,0.1696202403268679,0.0,0.05753005385574145,0.0,EM+mode,0.0
7,0.86984168356312,0.9600140793820293,1.394076858685757,-3.4474825001349885,1.605178729414186,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
8,0.8205567240445824,0.8733117761882353,0.3707037584630652,0.33878887131208174,0.4981705300133748,0.12512552690555862,0.14731540953207733,0.00917270324348056,0.04135386622740266,0.003941996092694254,VBEM,0.1
9,0.7644369066638832,0.8011028200157426,0.37805198613226687,-3.38355274834664,0.5071203269010596,0.13134559150597416,0.17301711238719975,0.01400068298030454,0.05407237389481085,0.008589612961216252,EM,0.1
10,0.39041757129086324,0.889995925357781,0.38799085646364956,-3.424609123768034,0.5095085954031304,0.07626291367551281,0.12170629284649545,0.008702756651612851,0.03739635866650425,0.014937025011586662,EM+CC,0.1
11,0.6823441729267035,0.616273581960004,0.8940737558582974,-3.5858738892978814,0.9171175718792689,0.09237823842330624,0.08252690733180407,0.0,0.048335924783332374,0.0,EM+mean,0.1
12,0.567162814485636,0.5347849624254187,0.9308634099099219,-3.6585847819601307,0.9090423991181182,0.06921024286367082,0.05555967567575371,1.1102230246251565e-16,0.0321676158999714,2.220446049250313e-16,EM+median,0.1
13,0.6773106263735348,0.6275903598394232,1.1636089313478915,-3.6367462646170226,0.9697917160169715,0.1397392823617733,0.14872384353908197,0.0,0.02971924813749174,0.0,EM+mode,0.1
14,0.605107218195728,0.6484164252173045,1.3339923455257894,-3.599020288645591,1.5680457712807332,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
15,0.7048311448141545,0.7436896240432123,0.5623826931875452,0.2929506133075409,0.5812333817416748,0.14344749524489653,0.18313315347451964,0.006579106996457406,0.05233394996245684,0.011585629683694395,VBEM,0.2
16,0.6335034450278318,0.6846674860039557,0.5691396509888452,-3.4747610520774828,0.6041110363633244,0.11499418460605319,0.1259570453426754,0.007523068030603938,0.06614303181441178,0.026404791115837156,EM,0.2
17,0.07515087796380578,0.6720300667365665,0.5809907441524642,-3.687126725972914,0.5884637019197794,0.050579581496246605,0.12854384030274418,0.010261808585676425,0.1251591958525482,0.011790134857258454,EM+CC,0.2
18,0.4770257801625196,0.49787804014978876,1.0293484930217596,-3.9453076868294787,0.9469803651854141,0.05154689410434875,0.07935774954839173,2.220446049250313e-16,0.07691476910096774,1.1102230246251565e-16,EM+mean,0.2
19,0.47219148386256354,0.55977101755386,1.011517854241994,-4.034649520980602,0.990661932174066,0.18341121049574652,0.2003270072992867,0.0,0.2760934857224848,1.1102230246251565e-16,EM+median,0.2
20,0.5264402942089413,0.6210363872357046,1.2690638811670856,-3.9951486224386663,1.0616192549084615,0.14315692090173152,0.07837116612290446,2.220446049250313e-16,0.11644247672684994,2.220446049250313e-16,EM+mode,0.2
21,0.7627837111617601,0.7111557882925005,1.5822541846521891,-3.513425762476562,1.5386502339759873,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
22,0.6570472706908966,0.5769433045750416,0.7002655458028633,0.2512614213717345,0.66873602252932,0.13053145541423686,0.14706936152675312,0.015620064345050857,0.04944339131746203,0.010307958076089129,VBEM,0.3
23,0.6901180310142283,0.5988080893435294,0.7012861799732848,-3.5155270365168105,0.6659427369961706,0.10295189855975388,0.08026626553029986,0.012257984777186618,0.0352289242591648,0.011997248423952608,EM,0.3
24,0.03482082682511127,0.4686849309540618,0.7045636975879301,-4.040710554527068,0.7129154011362406,0.03150889884311965,0.1716484038116657,0.01823155849428946,0.23901502587875434,0.02074066529191713,EM+CC,0.3
25,0.2745850772333175,0.3350460817951715,1.0291831815077586,-4.457751860675601,1.037673386944508,0.09027727867968488,0.11682469183559055,2.220446049250313e-16,0.18825203409193808,0.0,EM+mean,0.3
26,0.274136521517773,0.26759936169152493,1.1197897562160475,-4.441717696437995,1.0491759780359549,0.10627824141196865,0.08471964030781931,2.220446049250313e-16,0.2344315756390258,2.220446049250313e-16,EM+median,0.3
27,0.3044083288263619,0.27812172629309206,1.3045528816969527,-4.487509094428657,1.0680712671842358,0.14004086037838998,0.12415714258733382,0.0,0.3262015606588316,0.0,EM+mode,0.3
28,0.6022261025145736,0.5821380691188468,1.4957866353105218,-3.684908313247497,1.5012627768061848,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
