,loglike,train_ARI,test_ARI,RMSE_test,RMSE_train,loglike_std,train_ARI_std,test_ARI_std,RMSE_test_std,RMSE_train_std,method,missing_rate
0,-2.3760710879988305,0.5672727272727273,0.5538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,1.5397949673676656,0.545043873068441,0.526220276965471,0.0,0.0,0.03050506853988739,0.04672588824193587,0.03923159114603744,0.0,0.0,VBEM,0.0
2,-2.076420775349809,0.48230618140337117,0.5091954801159655,0.0,0.0,0.2938519220285961,0.09667939378540254,0.09253846808907484,0.0,0.0,EM,0.0
3,-1.9847876082602607,0.5380332260757387,0.5325675048076064,0.0,0.0,0.16327224285829672,0.0736952899028114,0.09184699481077582,0.0,0.0,EM+CC,0.0
4,-1.926420271251947,0.5645876437381505,0.5844661382003269,0.0,0.0,0.018023418306816384,0.11354126893007048,0.10740598739298347,0.0,0.0,EM+mean,0.0
5,-2.0206276716523344,0.5216044961940727,0.5377573791373579,0.0,0.0,0.2573222700601007,0.10367854662049666,0.09881654809631152,0.0,0.0,EM+median,0.0
6,-1.966624699265606,0.5459703290761733,0.558334329691223,0.0,0.0,0.06589533664668161,0.08301683957863706,0.028212921957992833,0.0,0.0,EM+mode,0.0
7,-2.476742709890594,0.5672727272727273,0.5538461538461539,1.1288091618382141,1.6718142370801263,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
8,1.4813129357800379,0.5765617300041685,0.5747414562473623,0.3261945384404119,0.4390884181930419,0.03981875641745719,0.05434906459909793,0.04498527272454151,0.02449788413696179,0.01601770565657586,VBEM,0.1
9,-2.3172636891502187,0.4585058957523868,0.4541016491127377,0.32006178460790125,0.4966125671286342,0.3489099835550078,0.1263994766616468,0.06770643007998496,0.01638172543438627,0.04111507138522962,EM,0.1
10,-2.381830595156289,0.18879398434948913,0.4374369588914937,0.31653297061897856,0.4884580385281029,0.30506019774803406,0.08501359226015763,0.1321922601736493,0.02640524198539615,0.043580039007614965,EM+CC,0.1
11,-2.802067354628318,0.3917597909863796,0.34749217220033074,0.962284873897197,0.9744078105185819,0.25131611637121876,0.05949692427870328,0.07801319945410373,1.1102230246251565e-16,1.1102230246251565e-16,EM+mean,0.1
12,-2.7224079977425126,0.40309941773160984,0.35999045723173734,0.877150468647962,0.9756023773243172,0.329283216551423,0.11098767122267558,0.12308484424609485,0.0,1.1102230246251565e-16,EM+median,0.1
13,-2.9180365752642574,0.3950264944364312,0.38126077455793383,1.7028803917524225,1.5768952657951734,0.2872018921218751,0.06814136825896434,0.06001469806637834,2.220446049250313e-16,0.0,EM+mode,0.1
14,-2.469521944963878,0.5672727272727273,0.5538461538461539,1.4904259098291952,1.5839518614068462,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
15,1.419289002954798,0.5504266680726675,0.5363043160518671,0.40962530012554765,0.4445064897379044,0.05778302135426624,0.024386552062183497,0.015067070562677535,0.02174607850808987,0.002641506849263923,VBEM,0.2
16,-2.159712317550519,0.5773023171050153,0.5716965808647768,0.46036859732113955,0.5077733998243807,0.08007058328650339,0.09846314325654254,0.10277893558736902,0.015558608302565237,0.014732098945977243,EM,0.2
17,-3.0244159128680534,0.03889967570495779,0.48858420933074553,0.42676636729176104,0.5309883891813205,0.35591291144198384,0.020284988878360114,0.1375460242450062,0.04229196043551943,0.03446858163264012,EM+CC,0.2
18,-3.3181017031183457,0.2253078534075092,0.17598704838262166,0.9989796942166095,0.9326310293805703,0.34499092799809306,0.12475506897446148,0.1322398435087857,0.0,1.1102230246251565e-16,EM+mean,0.2
19,-3.263254125921178,0.24605102222017447,0.16686175598563763,1.0132665670439278,0.94520117739313,0.23060609352101322,0.11908361896684178,0.12235384069405775,0.0,0.0,EM+median,0.2
20,-3.376386532501191,0.29753059376315255,0.2406826440688805,1.4223909589000878,1.3241728837042195,0.38322851283686127,0.13975780907801508,0.15751132789120034,0.0,0.0,EM+mode,0.2
21,-2.7770300967817794,0.5672727272727273,0.43497961033076576,1.0517377203077822,1.4974921733601056,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
22,1.28694397681148,0.5395077597212518,0.43085532797322934,0.5427777933800519,0.5234137510019189,0.02191088501440614,0.040933203509568764,0.03852577197497332,0.004915348400452689,0.007413634714127895,VBEM,0.3
23,-2.2727097485425434,0.508838652804522,0.44580211966527405,0.6104428948292633,0.49118999613438197,0.12663201312575367,0.0753693071145127,0.02144540116245375,0.012764701882111772,0.02129021133575609,EM,0.3
24,-6.8289130760967875,0.008978203316447178,0.14173568632054429,0.6512509294365886,0.5840135908236714,2.52889725320829,0.008924394002104694,0.1241915097853072,0.04712125650833167,0.023592485153023018,EM+CC,0.3
25,-4.329746823741057,0.14415716386979738,0.08545940288616886,0.9758477038646085,1.0753771708184396,0.24800879214168958,0.09631328038790075,0.07368621255177717,2.220446049250313e-16,0.0,EM+mean,0.3
26,-4.620257471529762,0.12487394645133701,0.13587685471733174,1.1229185444413905,1.0901861274529623,0.41779533281892617,0.13090705503318514,0.11621130093005184,0.0,2.220446049250313e-16,EM+median,0.3
27,-4.212540906885116,0.3449051497375611,0.2145292300306195,1.517394522214574,1.4595081031937869,0.4348545595047096,0.11379747052326522,0.07016661368129722,2.220446049250313e-16,2.220446049250313e-16,EM+mode,0.3
28,-2.495700933073252,0.5423956931359354,0.43497961033076576,1.2823900285034655,1.4006547865149896,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
