,train_ARI,loglike,RMSE_test,RMSE_train,test_ARI,train_ARI_std,loglike_std,RMSE_test_std,RMSE_train_std,test_ARI_std,method,missing_rate
0,0.9506095625225583,-3.351404099594377,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,0.8982188019042366,0.36416549528024633,0.0,0.0,0.9500451840079773,0.1283797421928852,0.0382936784431232,0.0,0.0,0.14986444797606807,VBEM,0.0
2,0.6539248454848631,-3.45208804117106,0.0,0.0,0.6411675082579181,0.10380746802723032,0.1077330092344118,0.0,0.0,0.07226708333491695,EM,0.0
3,0.6291361084695508,-3.425930637934086,0.0,0.0,0.62977602351057,0.09760168630080558,0.03363103781499158,0.0,0.0,0.07391950861476343,EM+mean,0.0
4,0.770790236929462,-3.383490215732658,0.0,0.0,0.8080013530639292,0.16326419231202172,0.0708174735071977,0.0,0.0,0.19280816035103485,EM+median,0.0
5,0.7858174897819656,-3.3750460600063823,0.0,0.0,0.8185767397101209,0.16212307558857936,0.06845620022056988,0.0,0.0,0.18636695938128053,EM+mode,0.0
6,0.895966328155253,-3.2931699068573788,1.4110614258177903,1.553915446752352,0.9600140793820293,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
7,0.8198623339003754,0.18860358319313825,0.3672631493973458,0.4962899185372729,0.8688999316892273,0.15165718593059813,0.04284876098951116,0.004461445761002629,0.0006885982439954387,0.18222829538560426,VBEM,0.1
8,0.7094507399296754,-3.159906352507682,0.37499698920609636,0.5053589982255315,0.764935884753694,0.15266264544308278,0.04705469210394994,0.0166860492348236,0.003764306510602343,0.19312321918124978,EM,0.1
9,0.7045508810255576,-3.8305013751096246,0.8940737558582974,0.9171175718792689,0.6287765723800942,0.07752516933839573,0.024027921548108327,0.0,0.0,0.07161574142168332,EM+mean,0.1
10,0.5915452367008552,-3.8034379548976274,0.9308634099099219,0.9090423991181182,0.5691208423040155,0.08175517694874321,0.02638656856631577,1.1102230246251565e-16,2.220446049250313e-16,0.07240894178724154,EM+median,0.1
11,0.6427015550306907,-3.8584026758027137,1.1636089313478915,0.9697917160169715,0.5965929709119994,0.12888011030385835,0.05651241274221858,0.0,0.0,0.10612806818678312,EM+mode,0.1
12,0.5944916051353074,-3.3776242673025783,1.2452973856360106,1.47378226493934,0.6484164252173045,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
13,0.6995796788048743,0.0411693489960032,0.5617855835529362,0.579449962672613,0.7410241338114385,0.14734486573004435,0.043989095868167634,0.005555381796766803,0.009427775562836967,0.184878634623776,VBEM,0.2
14,0.6931299367038318,-2.94429571317068,0.5633287508965139,0.590759028707927,0.7481152261555892,0.1312615895215599,0.04274003806641888,0.008554019873401713,0.019458491858656786,0.14933327286834253,EM,0.2
15,0.5033236201896032,-4.080451193721438,1.0293484930217596,0.9469803651854141,0.47769910264381304,0.0506465040252218,0.02090021340214584,2.220446049250313e-16,1.1102230246251565e-16,0.0662465937394501,EM+mean,0.2
16,0.5100515933083756,-4.012813653589775,1.011517854241994,0.990661932174066,0.5923896311795083,0.08246962442961157,0.01855538099496481,0.0,1.1102230246251565e-16,0.0894841692322893,EM+median,0.2
17,0.48673789729564687,-4.087899489899437,1.2690638811670856,1.0616192549084615,0.5570643790706555,0.0787967377733768,0.02993513634127914,2.220446049250313e-16,2.220446049250313e-16,0.0725461661947861,EM+mode,0.2
18,0.6285019190998133,-3.274599345047489,1.3335700744368917,1.4544272737786639,0.5351981252662974,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
19,0.7022611451439247,0.035065545084676346,0.6960723705823684,0.6689710173006604,0.6308132084192064,0.1042395853283402,0.02297870062495565,0.01442512653201993,0.010548442580415837,0.12637926454468934,VBEM,0.3
20,0.6845341298020429,-2.581184080827353,0.697503919507023,0.6626681640247601,0.6079849463049101,0.10918152831922111,0.029369403506173668,0.012921990944283052,0.010043296819604428,0.1179015121633338,EM,0.3
21,0.35224525010553276,-4.069341425771969,1.0291831815077592,1.0376733869445078,0.30798320804889606,0.047719848238992245,0.01866997362234326,2.220446049250313e-16,0.0,0.03377484861792936,EM+mean,0.3
22,0.3755876998779971,-3.9940029294921566,1.1197897562160475,1.0491759780359549,0.3378224146801029,0.12032141153864435,0.10224667195218477,2.220446049250313e-16,2.220446049250313e-16,0.11723707164937122,EM+median,0.3
23,0.4532536224581881,-4.02714120532382,1.3045528816969527,1.0680712671842358,0.318735879132303,0.20118371214582803,0.0926475133860501,0.0,0.0,0.1593679395661515,EM+mode,0.3
24,0.5265593771163861,-3.4202569531849587,1.5465894656440424,1.496155017861278,0.49098908691567394,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
25,0.5633010386454903,-0.1668819657137332,0.7791101465669902,0.6944036482307181,0.513903782556254,0.1343414420508792,0.10373310031921408,0.005398151279884216,0.019503782678881608,0.11859008151986157,VBEM,0.4
26,0.5237029355772739,-2.392112045508555,0.7449006363516537,0.6846947633916026,0.477208530968064,0.07742904339314385,0.02705601712075633,0.015955346618789838,0.008363040960484432,0.0638439323620531,EM,0.4
27,0.11548831615690847,-4.138269147421687,1.043052261449223,0.9809235022144233,0.034327062595439196,0.1188729135267327,0.0901702970408281,0.0,1.1102230246251565e-16,0.042041893863702204,EM+mean,0.4
28,0.2665480610977891,-3.9691748756466607,1.0658363075525465,1.0044830012408696,0.17822975877037223,0.13706092401558853,0.14104054244107836,2.220446049250313e-16,2.220446049250313e-16,0.126078623197158,EM+median,0.4
