,Unnamed: 0.1,Unnamed: 0,test_ARI,RMSE_train,train_ARI,RMSE_test,loglike,test_ARI_std,RMSE_train_std,train_ARI_std,RMSE_test_std,loglike_std,method,missing_rate
49,49,49,0.0485023259016582,1.0653933585853912,0.0791972607388929,1.0002286842077108,-0.167322009345305,0.0475748258174124,0.1023425099539301,0.044780346988815875,0.1020862570964172,0.051400380093468,VBEM,0.8
50,50,50,-0.0059032617143428,0.9415613507100178,0.009303285583184,0.8610814963140403,-1.078135852681459,0.0115800475985825,0.0352081793738688,0.01429127665147242,0.0532630721447987,0.0966803057210898,EM,0.8
51,51,51,0.0,1.0297153910083137,0.0138846380982816,0.9529548014400684,7.079873862537387,0.0,2.220446049250313e-16,0.01397158293134691,0.0,1.2936963078592272,EM+mean,0.8
52,52,52,0.0,1.0287169895641963,0.0106556133692526,1.040341576782169,6.944545178212699,0.0,2.220446049250313e-16,0.00890325803158002,2.220446049250313e-16,1.1304492889688549,EM+median,0.8
53,53,53,0.0004235044997353,1.4580503550187025,0.0120848026273,1.5791328602250316,7.272342414885319,0.0008470089994706,0.0,0.00890163427615479,2.220446049250313e-16,1.5214885091334578,EM+mode,0.8
54,54,54,0.0,1.3867954866161492,0.0265130935564489,1.4802626837392012,-2.532708828608268,0.0,0.0,0.0,0.0,0.0,Gibbs,0.9
55,55,55,0.0099208345630225,1.1333490839210862,0.0014666988187572,1.2723561536896448,-0.0404905675664384,0.0108863330420485,0.0387732286024018,0.00261515549066004,0.0422390431818343,0.0140656709087666,VBEM,0.9
56,56,56,0.0025235032162295,1.0500842889205877,-0.0003334789472641,1.194100539853341,-0.8744039537675083,0.0049994852151765,0.0521237094527821,0.00100160052170553,0.0344983503071381,0.1538953289521029,EM,0.9
57,57,57,0.0,1.0959986572932148,-0.0006194494374694,1.5641271937369776,9.561056863111766,0.0,2.220446049250313e-16,0.00445457120005854,0.0,1.6379546278916748,EM+mean,0.9
58,58,58,0.0,1.1533073602959865,0.0028277746174795,1.482369186479366,10.196089125143056,0.0,0.0,0.0014617958068981799,0.0,1.602654229874134,EM+median,0.9
59,59,59,0.0,1.3124439494551043,-0.0015971689744903,1.6306061051273026,9.849580895869885,0.0,0.0,0.00184703405541111,0.0,1.5994263582683257,EM+mode,0.9
