,test_ARI,train_ARI,RMSE_train,loglike,RMSE_test,test_ARI_std,train_ARI_std,RMSE_train_std,loglike_std,RMSE_test_std,method,missing_rate
0,0.663709048759882,0.6267186461591973,0.0,-20.13772765594098,0.0,0.0,0.0,0.0,0.0,0.0,Gibbs,0.0
1,0.5965816210802959,0.5812408134868594,0.0,-20.33803313440318,0.0,0.08218066075408013,0.06948449447195691,0.0,0.33502432150265704,0.0,VBEM,0.0
2,0.5595882307861038,0.5508841529487596,0.0,-20.333135937356804,0.0,0.07668779471189065,0.07138776695870253,0.0,0.4375797923818302,0.0,EM,0.0
3,0.6102460166268687,0.5910048035427934,0.0,-20.2111375180964,0.0,0.08352958891514121,0.06995056647298153,0.0,0.46071327488454855,0.0,EM+mean,0.0
4,0.5585269843268678,0.5438261401738046,0.0,-20.48267020033068,0.0,0.06494493685989043,0.054605686694940966,0.0,0.48141506276570045,0.0,EM+median,0.0
5,0.5126698046235441,0.509615431990129,0.0,-20.392344736292152,0.0,0.08126942732181178,0.07104264133879941,0.0,0.4342647456386985,0.0,EM+mode,0.0
6,0.47518957537974654,0.4759405074365704,0.5281577459737732,-18.53663253266984,0.5256248608587085,0.0,0.0,0.0,0.0,0.0,Gibbs,0.1
7,0.5944835922151828,0.5746547880619631,0.2808771382512286,-18.397391479937983,0.2724040424306704,0.07643830471378271,0.06762182295298558,0.001705954992751782,0.31027576834763104,0.003951277543377439,VBEM,0.1
8,0.5162402484386666,0.509870374974969,0.283049141626909,-18.507243731250487,0.27663869052286205,0.06889031581597764,0.06177790737199869,0.0029899930493360225,0.32321968871136547,0.004622167346776043,EM,0.1
9,0.6419117139424916,0.6222505369015018,0.3723511318124853,-23.811654075193005,0.3676552256365878,0.07848402420527396,0.07074382206757981,5.551115123125783e-17,0.20753653699515495,0.0,EM+mean,0.1
10,0.5726461994801652,0.55877771152828,0.45136489960656406,-21.259203859585295,0.44992517960864686,0.08309337700222678,0.073552184874944,5.551115123125783e-17,0.39357101273994144,5.551115123125783e-17,EM+median,0.1
11,0.5866900950439997,0.5759581754518777,0.45136489960656406,-21.17281876818709,0.44992517960864686,0.06913560041977632,0.0596484469257438,5.551115123125783e-17,0.2979664102128441,5.551115123125783e-17,EM+mode,0.1
12,0.6799982818699698,0.6510112066982435,0.5261808470851181,-16.408098062218645,0.5515007656046732,0.0,0.0,0.0,0.0,0.0,Gibbs,0.2
13,0.5469320215112604,0.5380217864203705,0.27949449816193034,-16.606768927589304,0.27594562982851706,0.08519626194469386,0.07291893929781926,0.0024745308165247935,0.23535600290915754,0.003272733272813729,VBEM,0.2
14,0.5564396340774902,0.5489891393303594,0.2782340901645619,-16.28920164527438,0.2759013952439643,0.08315248262234905,0.07334085402491895,0.0034945330262147185,0.3389840122620211,0.00473948194935881,EM,0.2
15,0.5790825594174726,0.5627742138364056,0.3767747297643319,-26.62859978703533,0.3811522411707155,0.09594009775432952,0.0838341823187325,0.0,0.09600408815632774,0.0,EM+mean,0.2
16,0.5894788810097663,0.5720944643198226,0.4577067708752015,-21.42608873756172,0.4570297818505609,0.10219460520525422,0.0865807298732124,1.1102230246251565e-16,0.38438998608252156,5.551115123125783e-17,EM+median,0.2
17,0.6127881792755276,0.5923865819986018,0.4577067708752015,-21.346714155601966,0.4570297818505609,0.0813105721684711,0.0739434753887491,1.1102230246251565e-16,0.25566116292445823,5.551115123125783e-17,EM+mode,0.2
18,0.47518957537974654,0.4759405074365704,0.5267956058705796,-14.573710899400655,0.5483124581150222,0.0,0.0,0.0,0.0,0.0,Gibbs,0.3
19,0.5451840269178968,0.5394064201483679,0.28315844819066716,-14.462112168372482,0.2889027002470575,0.07977836309476256,0.06863903578330076,0.0022912560541813094,0.24715248858175187,0.003096567243693296,VBEM,0.3
20,0.6523051975444736,0.6312592215944508,0.2821024054874589,-14.073565208591223,0.28774731383862917,0.04429109043935804,0.03214315085748778,0.0014852289329248584,0.17150347102204178,0.0016743805908341605,EM,0.3
21,0.5815980053550924,0.5636698564904599,0.37499711809445296,-28.555523782718172,0.3907152616082819,0.08449916279070602,0.0716513531052482,0.0,0.06620593730205913,0.0,EM+mean,0.3
22,0.5768173198390365,0.5655310269742789,0.4525595474947666,-20.949317696301627,0.4725777622564464,0.07598201282999568,0.060868666034447794,5.551115123125783e-17,0.2434959264464525,0.0,EM+median,0.3
23,0.5464520065320764,0.5341194991446634,0.4525595474947666,-20.97414993693099,0.4745687697703877,0.09475048123569338,0.08073764738542273,5.551115123125783e-17,0.17123829715976624,5.551115123125783e-17,EM+mode,0.3
24,0.6638956080488512,0.6241486559204555,0.5288450977575953,-12.572828787587051,0.5239603242871322,0.0,0.0,0.0,0.0,0.0,Gibbs,0.4
25,0.5750314039261004,0.5543542926307867,0.28173494333564253,-12.712806206727349,0.2730448423818285,0.09429045132361076,0.0766704515859044,0.0052017048325238065,0.3713013652258493,0.006179213107477326,VBEM,0.4
26,0.6305909981435722,0.6110149675596851,0.2785797891048769,-12.336483355452106,0.26940806551873064,0.07434961222288865,0.06081264071360762,0.0020213380760515575,0.11407416606397024,0.001853553928833577,EM,0.4
27,0.6271983606087572,0.6232690488344851,0.37710427066034796,-30.499773319100733,0.373499938656826,0.08137329417328287,0.07452617064149547,0.0,0.04346268913145261,5.551115123125783e-17,EM+mean,0.4
28,0.5664673531004374,0.5604536571710714,0.4563627144610688,-20.129531732609166,0.4493607558863354,0.08260405543770342,0.07338218144349767,5.551115123125783e-17,0.1109745719158514,5.551115123125783e-17,EM+median,0.4
