,mpid,fname,sname,party,url
639,43334,Steve,Witherden,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43334
640,43195,Mike,Wood,Con,https://www.publicwhip.org.uk/mp.php?mpid=43195
641,43277,Sean,Woodcock,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43277
642,43323,Jeremy,Wright,Con,https://www.publicwhip.org.uk/mp.php?mpid=43323
643,43394,Rosie,Wrighting,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43394
644,43144,Martin,Wrigley,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43144
645,43371,Yuan,Yang,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43371
646,43315,Mohammad,Yasin,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43315
647,43112,Steve,Yemm,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43112
648,43085,Claire,Young,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43085
649,42959,Daniel,Zeichner,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42959
